AREA_NAME,AREA_CODE,2015,2016,2017,2018,2019,2020,2021,2022,2023
Knowsley,E08000011,95.65741724,87.87400745,92.07593609,87.5070454,79.2744666,77.75534005,80.38750547,76.23825602,88.51876672
Liverpool,E08000012,94.16442161,92.67225726,91.83405911,89.66005857,89.67765538,88.3304556,90.38726323,91.46932862,91.96936656
St. Helens,E08000013,75.88180521,78.77648316,73.52070809,73.3799941,74.66756778,70.10237328,64.30664823,62.58503204,62.17783102
Sefton,E08000014,77.62696659,81.44729112,79.39396591,81.67334278,72.2313087,74.26011612,81.99680242,82.17944906,83.03108219
Wirral,E08000015,85.46101445,90.25693344,81.43972553,80.67034834,82.40110643,88.65229674,81.16141431,81.40398481,83.26622828
"Kingston upon Hull, City of",E06000010,85.48159004,83.45687359,78.80192559,81.01707025,82.18751596,74.85756079,83.08019577,79.90119532,82.34593072
East Riding of Yorkshire,E06000011,85.30992925,80.84009642,79.57923053,82.85900175,84.49718917,90.00581547,96.57889487,93.05934788,89.46761236
North East Lincolnshire,E06000012,80.09178712,80.35663126,77.71305677,76.59118213,79.09128486,83.62982448,87.11203933,83.93050868,81.14975336
North Lincolnshire,E06000013,94.80238814,99.36844132,97.41981216,96.33961886,96.19418162,87.04091058,105.3374331,100.3053627,94.76394884
York,E06000014,100.492536,102.5672264,103.3309605,105.9974367,98.82285862,93.7285248,97.50979722,104.1575003,101.7558624
North Yorkshire,E06000065,79.32959488,80.71121696,82.39276261,77.34159552,82.97679167,85.70813084,85.59680468,86.23048052,83.41917009
Barnsley,E08000016,75.8402974,75.06108434,76.16283674,73.00986138,74.76381476,75.87663926,74.37698348,74.17282862,77.74476211
Doncaster,E08000017,72.21944173,72.23987775,74.57698889,75.80217953,75.30183535,73.50879918,72.70104691,73.34365208,72.0959201
Rotherham,E08000018,74.58489089,72.78066958,80.02477227,77.99447199,77.76551487,73.60853391,75.45879583,75.58437528,81.99147297
Sheffield,E08000019,87.26949493,84.65528452,83.2322557,83.661451,80.95048456,85.0667539,85.81095711,86.89934143,87.46476895
Bradford,E08000032,79.1325471,78.42663465,77.46372587,78.58695809,78.71423147,74.88296785,80.69650986,78.80431617,79.19888141
Calderdale,E08000033,87.14999811,82.83338765,91.74406541,96.00038033,91.80440212,92.04156552,97.31868822,87.50574521,82.21817986
Kirklees,E08000034,75.21727336,74.0386293,75.05544053,78.63094537,74.7729255,77.66521358,76.12059852,77.7136087,79.96541611
Leeds,E08000035,95.85866856,97.73325144,93.34774664,95.05693977,94.46407909,95.03103322,94.70196574,97.09977935,99.94304076
Wakefield,E08000036,78.34517241,81.52429552,78.77282616,81.86416275,82.96163456,83.14562106,85.03903053,83.99389873,75.88011706
Derby,E06000015,94.56502725,88.90125547,86.63758452,85.9852514,84.07685274,93.08618246,94.92473953,91.92863497,96.22314921
Leicester,E06000016,84.22610343,84.4136861,86.70635095,93.20162797,86.84563631,80.46208356,91.52306433,85.15509897,89.03207134
Rutland,E06000017,82.01845345,88.47241781,75.31806494,77.92053114,72.27658347,81.19663642,76.82034759,80.87692197,74.96257439
Nottingham,E06000018,81.68977012,82.30427562,93.75529403,92.68127624,91.41445509,86.66742405,83.99153781,86.030756,89.71035715
North Northamptonshire,E06000061,81.54332841,78.26422531,74.72029865,77.12076383,72.18860922,68.95865654,73.7986019,73.77125484,72.08451469
West Northamptonshire,E06000062,92.34625838,91.89620796,90.67134503,92.19701411,93.24035892,91.15922323,88.80489118,91.2420009,96.26378161
Amber Valley,E07000032,77.60481809,79.92932281,81.41773199,85.31141974,84.30615414,90.0449761,87.48840259,88.65319163,94.10873647
Bolsover,E07000033,90.24013599,98.44576641,112.3006122,113.3139482,114.6328125,113.1717449,102.4731765,93.42179088,99.65342324
Chesterfield,E07000034,92.42106415,86.93796729,85.4020867,80.27888427,77.63872654,83.46037967,85.88473841,88.46226153,78.63704396
Derbyshire Dales,E07000035,76.59750188,71.58209385,68.87485807,76.33196333,67.51717021,72.70291209,76.1995726,81.20606998,72.1801925
Erewash,E07000036,73.12899326,70.72849351,68.8050316,64.50106186,70.61108849,70.06405515,74.74497952,65.59363774,68.0440712
High Peak,E07000037,80.38583419,77.37590295,77.30199731,72.18872836,64.40462868,77.02032523,74.70893394,67.92647987,70.46287315
North East Derbyshire,E07000038,81.40118738,77.69261127,86.03518944,80.74810202,79.91321903,90.37175348,80.10980707,82.6431452,78.48117886
South Derbyshire,E07000039,143.9691827,127.1816942,126.148816,130.8222188,138.3895666,157.0981097,144.5761064,111.034733,114.5283912
Blaby,E07000129,120.3966428,107.7691484,103.3514774,99.72285794,94.20937641,102.3775631,97.18218066,93.31076696,100.6397263
Charnwood,E07000130,89.96377636,89.02513432,96.7943545,96.50082295,87.21689608,82.58718179,86.89715911,81.37850418,86.35164101
Harborough,E07000131,85.88480902,87.70783793,80.85402241,78.93061973,80.75645829,81.69540431,83.70065259,82.6041302,86.04024663
Hinckley and Bosworth,E07000132,83.86259827,78.53746207,86.87710239,86.41256148,83.47072065,85.14646893,82.96699826,88.10889837,93.01282912
Melton,E07000133,87.03994531,87.71063238,87.38834232,97.78941483,108.0993332,99.80673294,89.30575773,91.0713112,88.74689845
North West Leicestershire,E07000134,92.71140085,95.12403078,87.74357051,91.14916787,87.38299384,79.47288129,84.00565045,86.52282926,88.38672463
Oadby and Wigston,E07000135,64.24056614,68.3354135,63.36839729,66.64434694,60.85033372,60.47825505,67.05385994,69.49567569,73.3573754
Boston,E07000136,74.63832309,70.52044018,66.76941311,68.98828903,75.18774996,73.65878044,70.13040934,68.30510326,68.76013182
East Lindsey,E07000137,75.30589054,69.84055404,73.64149312,69.43473756,78.43515694,74.09088565,85.53065113,76.18880537,78.53891421
Lincoln,E07000138,82.10391328,85.28133633,88.87604301,88.36860476,90.6154318,87.15802212,80.87864441,76.07470947,82.16740974
North Kesteven,E07000139,87.52656711,82.93784363,84.5684247,85.09241799,88.7756679,85.1498043,88.87525737,95.66936406,94.02117139
South Holland,E07000140,69.73971146,72.15461638,77.24273855,83.46355802,79.36361812,83.58005514,85.98993475,79.50203044,85.56685297
South Kesteven,E07000141,83.09482216,87.44649869,79.45986982,81.27449109,81.74041793,76.75271668,79.5086951,79.3345484,80.1668056
West Lindsey,E07000142,81.81863732,84.59585522,72.96466494,81.31898458,91.16192788,92.54567406,90.55635171,89.67134385,86.36796498
Ashfield,E07000170,83.7509044,80.40567465,79.98358952,81.3573787,79.94488157,75.97671156,84.53742301,78.32906379,78.37269775
Bassetlaw,E07000171,74.49368915,71.90678349,72.33298554,69.86167923,66.74788015,72.74575589,74.47967043,75.16526209,76.45710834
Broxtowe,E07000172,98.95101015,93.4949368,82.29259322,88.0420246,77.87790469,92.92125982,91.79257249,89.52401656,97.72231157
Gedling,E07000173,74.41559329,77.96369445,72.38833882,69.74230308,81.16456812,74.38671243,81.69528944,76.18535057,72.59727887
Mansfield,E07000174,70.85140561,72.93181755,66.43829895,73.76297716,70.19362087,71.48608421,75.2481444,67.40219579,67.18635372
Newark and Sherwood,E07000175,75.24726014,78.09069625,76.2087388,75.11898035,80.15107999,80.23573211,79.33876459,75.86637552,82.11301046
Rushcliffe,E07000176,107.8913405,98.77371779,108.1355276,111.5898178,106.0710244,111.5269855,110.2178215,111.656625,104.639865
"Herefordshire, County of",E06000019,72.92364409,70.84250068,66.01979226,70.933476,71.48966215,71.50893181,69.67321912,72.1965079,71.37174488
Telford and Wrekin,E06000020,80.37942456,86.0491088,82.51238269,86.64599903,87.58221156,92.04147468,94.94980927,85.39903376,82.45168439
Stoke-on-Trent,E06000021,72.5632401,71.25997526,73.32449852,75.73008157,78.76231335,79.15314952,79.3591111,78.87360778,80.35938361
Shropshire,E06000051,80.1901947,82.34908328,77.14189607,80.09575703,76.1337655,76.6699099,78.66133969,75.11229636,76.00743312
Cannock Chase,E07000192,93.57907634,83.04312456,81.25106927,80.12440639,80.41158054,84.99098362,77.84717354,79.78331733,83.03461606
East Staffordshire,E07000193,98.30949674,102.7362477,94.38904759,94.72055027,99.3330604,81.18146287,97.789102,90.87975037,91.89107946
Lichfield,E07000194,84.88334472,85.78505502,84.71575205,72.58725808,76.83869629,77.21342677,83.16260191,76.40263532,79.47868258
Newcastle-under-Lyme,E07000195,83.39501367,76.9919651,75.19021544,78.59465977,82.75434863,80.50117045,83.90364855,82.10633374,82.99976334
South Staffordshire,E07000196,67.05332213,72.46705186,70.0986956,76.52561439,74.54509066,84.08061474,85.77991148,76.92882274,81.58322533
Stafford,E07000197,90.68863063,87.30484979,83.6565336,82.79053706,85.57697827,86.21555106,85.54311145,77.46171792,75.17072333
Staffordshire Moorlands,E07000198,81.72590673,74.23362933,87.16060142,77.03827308,72.24945023,65.93798264,81.13876123,66.62969249,68.46136674
Tamworth,E07000199,71.41043005,79.55581488,89.98094897,91.45058698,85.84976479,93.47658632,110.6713385,100.2132134,95.91791852
North Warwickshire,E07000218,93.90150319,86.12916727,87.23321916,92.98064433,93.3396602,97.12844466,97.62800218,87.93508435,88.14090217
Nuneaton and Bedworth,E07000219,73.1203259,76.47860335,75.60925919,76.53428179,73.60415588,78.18178687,72.08743398,82.25105462,79.52523051
Rugby,E07000220,93.14327393,91.28399748,91.84849682,95.7805584,87.58882602,85.63917041,84.95263127,91.29617388,98.32436744
Stratford-on-Avon,E07000221,104.6880844,99.10591107,102.350559,109.9760235,103.0699581,105.5199383,102.3100571,99.77404062,115.3776416
Warwick,E07000222,122.6797618,121.2699513,124.0308662,120.3052901,119.2162427,116.2396532,109.4421313,110.1265939,115.0965432
Bromsgrove,E07000234,112.4509364,84.96800543,78.73500529,100.5887434,99.41816747,105.0139701,103.6815673,117.8783708,124.3735336
Malvern Hills,E07000235,94.66188511,102.7351026,91.59512991,91.15239487,90.48494462,100.5199139,84.68166035,87.48658898,90.29049788
Redditch,E07000236,88.6361383,92.14094645,91.94789924,83.26584914,81.54967017,87.43605202,79.51717482,79.32531385,84.54808598
Worcester,E07000237,107.7822582,97.75966509,96.10141327,95.74661427,94.59507275,98.0419172,93.9904923,98.88478642,93.09171229
Wychavon,E07000238,75.17263653,77.56917097,76.31381406,84.21367937,83.18159974,96.52913306,88.30834557,83.64586058,84.13051262
Wyre Forest,E07000239,72.36874604,70.39907509,60.25226389,63.30659633,65.86033967,61.01279059,60.45764108,66.5777186,67.43895085
Birmingham,E08000025,89.30445154,89.84867814,88.0658582,90.34331358,86.46470689,80.48019037,85.98528035,84.84864121,87.00549607
Coventry,E08000026,109.2256835,119.9947361,107.5619531,104.410632,104.5244132,95.74657842,94.18499076,98.33184375,91.44101204
Dudley,E08000027,77.96512537,76.69445852,75.80348138,76.1063726,73.69178743,73.67854929,69.72628378,74.40780207,74.09752797
Sandwell,E08000028,76.7277308,80.57952246,77.25104836,82.66257471,77.6377054,85.11532308,77.28560177,73.00738933,79.5579478
Solihull,E08000029,116.9544146,119.7129217,123.525522,105.0316273,104.9321264,101.6325923,95.6842648,94.70377695,100.5781711
Walsall,E08000030,74.60637928,79.66059812,73.54980405,71.82613782,69.7861273,68.38999698,70.50656762,69.83480726,64.75436094
Wolverhampton,E08000031,76.01271202,80.30748492,81.49223451,82.34407215,84.43728544,77.46063719,79.56684915,79.4936864,77.15327156
Peterborough,E06000031,84.50096334,82.30271874,87.72186553,94.47677137,92.48132289,91.06438001,88.69694721,89.97779328,88.75149523
Luton,E06000032,90.36040031,86.4925306,84.40603327,89.1088367,87.29593561,69.951588,70.34019126,81.99736127,83.13219495
Southend-on-Sea,E06000033,75.44853798,79.62996457,84.45820402,80.99282561,79.94576179,69.75192131,71.03155249,68.62707351,73.15990749
Thurrock,E06000034,97.89221139,93.0355305,100.4179119,97.6424045,97.65531808,85.90683673,88.04649569,92.12210716,96.63708558
Bedford,E06000055,85.20688968,84.89604542,88.017425,87.1862723,89.01201596,78.76093343,81.06706389,88.39239326,78.77127394
Central Bedfordshire,E06000056,87.42982996,86.59160645,93.51920574,90.7094054,85.15833577,86.18869367,87.739249,81.28727597,87.24585189
Cambridge,E07000008,104.0619617,106.4088754,107.7879591,103.0351591,105.7125604,105.5093237,108.3552762,108.7835596,109.9255334
East Cambridgeshire,E07000009,85.34563672,75.33535188,84.01424934,84.66997457,85.47607074,95.70747838,83.26958185,87.64162384,97.43886996
Fenland,E07000010,80.44575428,70.19955665,76.88981273,73.87808197,75.46486711,64.01633244,74.99185231,75.34864054,70.95982279
Huntingdonshire,E07000011,88.74705217,92.00620205,97.29529234,92.87712282,90.41886062,89.92599055,91.63546913,88.61390217,84.49578279
South Cambridgeshire,E07000012,101.3701729,96.67314399,93.54546988,95.01815937,89.93310487,107.7287996,103.5017032,105.7976496,106.2249109
Basildon,E07000066,109.7615845,104.2891141,112.3523016,110.5374459,106.9390859,112.3183512,115.3110821,111.4904847,103.2014894
Braintree,E07000067,89.0862954,96.23048808,105.6104279,100.6586215,94.36419227,99.78347947,103.2243579,101.3983464,108.0908921
Brentwood,E07000068,139.1808011,137.1243071,154.064713,145.2316391,144.5745695,132.7025115,142.4649893,148.0081218,138.6314909
Castle Point,E07000069,74.18358904,69.29247456,78.40970376,72.84742843,68.58938573,67.46532337,84.0204542,64.36122506,75.90228079
Chelmsford,E07000070,100.6779011,89.68002299,93.38786017,94.51233854,97.18485615,100.1591137,103.5200355,105.1751802,106.8560517
Colchester,E07000071,83.09722092,84.96014398,85.26004468,88.73414846,91.30678989,86.45306087,88.98731793,88.27819986,83.73731277
Epping Forest,E07000072,113.3328761,107.6174432,113.268976,118.1529779,110.1174007,101.8047533,109.1624992,107.9445111,108.9166371
Harlow,E07000073,85.75729996,87.85751271,90.23146206,85.1381465,84.45303281,74.78724329,78.19260953,85.03667962,91.72591216
Maldon,E07000074,76.60595184,78.68813053,86.7552081,76.84403322,93.48796872,86.32510894,93.47983321,77.80741629,85.02249017
Rochford,E07000075,85.70541873,87.12861385,78.29586876,81.220666,75.81073073,85.54808658,86.37824758,97.23202278,114.5969451
Tendring,E07000076,78.68891748,76.90227986,80.02035463,76.79100547,78.91019151,74.45700488,70.99398495,79.81306539,81.44402706
Uttlesford,E07000077,79.41431087,71.67847845,70.55731905,67.76345211,67.65605502,58.8811981,70.55881438,94.34740682,97.46195061
Broxbourne,E07000095,106.1489595,98.69853461,96.94193025,99.58579032,89.41936923,90.33688408,92.15247998,82.70709922,88.03823768
Dacorum,E07000096,100.1076422,96.28721456,102.8333963,106.5636278,93.84019054,139.9969741,90.22132734,87.84955374,87.79804401
Hertsmere,E07000098,113.0818132,110.86682,116.2896528,114.6170862,108.5090575,118.234207,126.3647737,128.1513996,101.2258326
North Hertfordshire,E07000099,109.4788511,99.75399144,116.9353255,111.9868769,103.2421801,111.7404792,117.950038,106.2788719,125.9499316
Three Rivers,E07000102,138.9894451,151.1750521,155.2302817,155.3137489,154.0468727,152.9363351,143.2046277,144.4474752,157.0890452
Watford,E07000103,115.4552563,111.2344133,114.7572605,96.93695912,128.9379615,109.7619788,109.382755,129.0276467,103.3511052
Breckland,E07000143,80.65699954,82.19939944,81.05347207,73.69623564,80.49445501,82.64958432,81.66068559,72.5910119,75.49972491
Broadland,E07000144,99.79637934,101.2160583,108.8429314,101.8827772,118.7898996,143.3888725,135.8968305,124.0386358,118.8149402
Great Yarmouth,E07000145,94.18163415,78.6823742,82.71941878,79.69516292,81.54050522,70.65868031,82.45606527,82.64444981,82.20951774
King's Lynn and West Norfolk,E07000146,85.52044858,88.19909323,78.72802315,79.86504599,85.58619599,83.07379449,77.78278537,72.26810763,78.78947284
North Norfolk,E07000147,67.94455209,67.27740446,68.04944064,64.35439508,63.60168852,61.63208464,73.17757207,66.6447341,68.22117978
Norwich,E07000148,82.86950894,82.69367077,83.77494188,77.56429011,86.53729676,85.10924602,79.56388853,79.50845485,78.67502163
South Norfolk,E07000149,85.37850886,86.18373495,85.95451232,79.36537285,80.23112052,77.53267626,83.13566133,79.99466445,85.74808503
Babergh,E07000200,81.29206402,82.44097205,83.09656116,78.55012028,80.61072754,81.45672306,83.37996999,84.13917727,74.76185481
Ipswich,E07000202,108.5480394,105.7355874,102.7403542,99.6375669,106.9135797,98.61439055,95.48025508,102.9259903,105.8931719
Mid Suffolk,E07000203,81.87176524,79.68110513,83.21370561,84.32305168,82.11297993,77.70922831,81.12414724,82.69290455,93.66494295
St Albans,E07000240,98.07408162,101.6858909,96.8221764,92.91061873,94.22489355,96.03105119,95.33548505,114.0635612,104.4969814
Welwyn Hatfield,E07000241,86.72331153,76.74777574,72.29511953,78.6780955,90.27711965,101.5007922,107.5324856,109.6723698,107.9535802
East Hertfordshire,E07000242,94.75407238,103.8739473,89.9690634,76.07862546,91.41892495,91.69213885,99.25564217,100.5111306,112.8315811
Stevenage,E07000243,97.49043453,97.19362942,96.26267824,94.06874712,85.15721805,74.59840861,81.15032944,84.79400329,78.49365559
East Suffolk,E07000244,71.85472819,73.7517617,73.99912095,74.0349884,80.32906173,80.76379351,82.32641827,85.19334634,79.35592093
West Suffolk,E07000245,102.4865412,101.76434,95.69816503,92.23486796,92.27450611,82.81939535,84.99862435,83.08907715,78.76250033
City of London,E09000001,260.329424,256.8825561,254.3076591,258.3462676,257.3286334,274.5650564,258.9322765,240.2800683,226.6850772
Barking and Dagenham,E09000002,104.5025946,98.26890623,88.93669771,89.35169487,87.40808574,76.32176942,78.95436424,80.44150155,89.56587763
Barnet,E09000003,97.25052281,100.9547718,95.77900537,95.90544054,101.8248759,99.97646669,95.85923146,100.5469201,107.6166452
Bexley,E09000004,135.2603014,134.3910417,125.0355241,117.4448043,110.0007869,112.7750019,116.8978746,113.8802891,110.3738947
Brent,E09000005,107.239484,100.3290195,96.45275789,97.55304158,96.14558171,87.83093482,95.38631249,84.92196299,97.67345629
Bromley,E09000006,116.7672682,116.8821074,114.2731825,116.4249567,106.7806083,103.583446,101.4545338,94.57290033,96.90675204
Camden,E09000007,150.1562268,159.7140047,157.6673577,158.3692755,154.4039558,133.1536794,130.0596647,137.4139364,128.8607308
Croydon,E09000008,112.9559388,104.6188552,98.4359342,111.3400858,120.8958992,116.3009697,116.5685956,113.6596849,116.5243116
Ealing,E09000009,101.6195645,99.58323407,95.75380253,108.3350826,99.57237281,97.74096359,98.4315021,98.89268888,85.3481672
Enfield,E09000010,99.67688174,109.0709372,105.0400987,104.5425884,111.4164465,101.840965,112.7750162,109.1911394,97.13137474
Greenwich,E09000011,99.75331601,102.4625194,96.65784527,98.9117782,98.76342758,92.16303316,89.16779563,96.64979149,89.57112811
Hackney,E09000012,87.03210373,83.93231865,91.18635864,96.36973688,103.52473,108.1952552,100.9760845,101.293712,108.153654
Hammersmith and Fulham,E09000013,117.6683789,114.9154312,113.6789237,118.1440199,132.0960979,121.3879983,122.9927786,114.9087452,121.4512567
Haringey,E09000014,74.62728888,72.85701247,73.10513204,74.65866607,67.66076735,67.24318455,77.95073981,75.71695833,70.95179141
Harrow,E09000015,106.7956005,103.84105,95.15550572,102.6575558,104.8478874,102.6500157,99.35257303,102.9645424,94.45041294
Havering,E09000016,111.1668556,97.74972177,98.39177672,101.0907019,106.9698537,101.935943,103.2571927,99.5391905,103.0776134
Hillingdon,E09000017,114.0729625,111.4647179,104.9646812,112.1577974,113.5058748,83.16283191,85.20189847,90.564023,96.70456039
Hounslow,E09000018,134.6880107,135.7368827,145.1584958,145.4237047,143.6267865,118.2391179,112.8367064,135.6060966,135.4067403
Islington,E09000019,131.2308286,133.0095143,130.4496233,131.7047063,132.8194107,134.0213936,125.6747515,140.6818499,136.8822981
Kensington and Chelsea,E09000020,126.1199453,123.5817383,111.5662548,115.4404596,107.3301994,100.464339,98.66872879,106.8072588,114.9441513
Kingston upon Thames,E09000021,96.30705057,104.1466066,95.71395191,96.53821415,102.4000965,90.05896427,83.08564878,86.21482815,92.03555886
Lambeth,E09000022,129.0133542,139.1469345,132.1507512,131.9422786,123.981469,108.6071412,116.3256648,123.3662539,122.1360592
Lewisham,E09000023,84.8260477,80.88105493,72.12792609,81.37765632,77.97496135,70.79273798,72.21572394,65.5891222,69.18400798
Merton,E09000024,108.0235675,107.5543953,94.58262836,100.7344342,99.14870739,97.37480256,99.52210112,107.9401053,99.22851877
Newham,E09000025,87.85039424,83.81803562,86.2860612,77.55362428,80.7844423,74.69250641,73.79026824,77.51472933,75.30386654
Redbridge,E09000026,91.40621562,89.99067406,90.26028524,94.46538905,81.15867258,75.83804441,89.78166953,86.34181937,91.65968325
Richmond upon Thames,E09000027,127.4149412,121.9666521,128.6722225,127.9517058,138.684135,141.3489005,128.1580596,128.1335561,129.5123211
Southwark,E09000028,125.1515455,125.7414169,123.2266668,126.4055099,126.4378905,125.5413529,122.3329664,114.1209016,117.8992368
Sutton,E09000029,89.99403867,89.52028691,90.56609436,85.14792946,85.52662312,82.5190175,69.81111461,69.49730314,89.04913045
Tower Hamlets,E09000030,226.1604474,234.7118143,233.70024,211.0813894,199.3815017,203.6425522,198.1737848,176.934364,181.8779306
Waltham Forest,E09000031,82.74332831,79.47900633,77.96954824,75.73326216,78.46034849,74.28742445,79.00660231,81.78485632,68.71301098
Wandsworth,E09000032,97.82997135,99.55914583,90.69008944,89.25427018,83.62371867,75.22777568,81.22689067,81.01011757,82.65946412
Westminster,E09000033,152.6924302,165.3959391,168.1641801,162.8667331,163.4823798,164.8346926,159.205848,164.8737699,161.0399153
Medway,E06000035,94.30355851,90.91775848,96.80660928,93.49156432,102.1025286,99.74514611,95.32857043,97.40681439,94.25741685
Bracknell Forest,E06000036,134.1592882,123.1340236,131.1655609,128.2945264,131.092261,127.3944518,126.5811364,135.8879824,118.7889671
West Berkshire,E06000037,91.21890249,93.10992319,93.91441016,99.96113653,109.0859123,138.2948294,130.5121872,118.5725718,120.3878214
Reading,E06000038,107.1658806,113.5836378,113.4056578,127.3784761,122.9412964,119.6571028,115.6967185,118.1850745,121.5125382
Slough,E06000039,141.7439464,141.813343,136.8937573,137.9111267,142.4958278,177.0031176,161.6268712,152.7458994,159.7616634
Windsor and Maidenhead,E06000040,136.9249205,137.5248735,152.0379461,148.4623331,138.9244088,149.1990715,151.7116944,123.9608837,110.533138
Wokingham,E06000041,119.3034078,117.7917262,118.7691775,136.6574594,142.6340842,164.0408994,152.8206464,150.2832798,151.9400965
